country,account,stable,gov,quality,law,corrup,gdp,infl,capital,super,,,
ARMENIA,-0.68,-0.09,-0.10,0.26,-0.42,-0.60,2087.751968,7.651233638,17.22175677,1,,,
AUSTRIA,1.43,1.18,1.61,1.39,1.81,1.44,41106.82979,3.266938912,7.186052759,3,,,
BELARUS,-1.64,-0.12,-1.10,-1.21,-1.08,-0.72,4783.53347,,13.97649809,1,,,
BELGIUM,1.34,0.93,1.66,1.24,1.40,1.56,38243.40948,3.532082107,4.599802759,1,,,
BOSNIA AND HERZEGOVINA,-0.21,-0.84,-0.76,-0.04,-0.35,-0.31,3359.180949,3.675,13.61442801,2,,,
BULGARIA,0.44,0.28,0.11,0.55,-0.14,-0.23,4797.539886,4.219903466,10.76469818,1,,,
CROATIA,0.48,0.60,0.56,0.52,0.18,0.01,10830.55689,2.25,13.56124453,1,,,
CYPRUS,1.05,0.60,1.56,1.24,1.05,0.89,24289.60343,3.289449396,5.295256577,1,,,
DENMARK,1.60,1.10,2.11,1.91,1.93,2.45,48143.91379,2.756602233,5.053670162,3,,,
ESTONIA,1.13,0.58,1.10,1.40,1.16,0.93,11145.87121,4.977614784,8.924608973,2,,,
FINLAND,1.55,1.37,2.26,1.83,1.96,2.22,40531.05896,3.416809034,4.353541331,2,,,
FRANCE,1.17,0.59,1.37,1.15,1.44,1.52,35772.88181,2.117486809,4.753578917,2,,,
GERMANY,1.37,0.84,1.55,1.55,1.61,1.71,38555.96597,2.075172931,4.362379474,3,,,
GREECE,0.80,-0.10,0.50,0.49,0.55,-0.18,19911.22445,3.329870174,,1,,,
HUNGARY,0.85,0.73,0.68,1.04,0.74,0.32,11363.70879,3.957267231,9.1,2,,,
ICELAND,1.45,1.23,1.58,1.03,1.68,1.95,56976.93064,3.990412645,19.4,3,,,
IRELAND,1.32,0.93,1.45,1.59,1.77,1.54,49277.38507,2.578870455,6.439533415,1,,,
ITALY,0.90,0.51,0.38,0.71,0.42,0.08,30915.99716,2.741438213,5.447955505,1,,,
KAZAKHSTAN,-1.09,-0.32,-0.43,-0.26,-0.59,-0.98,5015.445079,8.348569186,13.78429854,1,,,
KOSOVO,-0.25,-1.10,-0.50,-0.12,-0.56,-0.61,2681.820767,7.336417713,9.542485965,1,,,
KYRGYZ REPUBLIC,-0.73,-1.08,-0.63,-0.22,-1.23,-1.15,587.2242527,16.49588472,20.1,1,,,
LATVIA,0.71,0.30,0.71,0.97,0.75,0.19,8521.10221,4.401154401,9.926129553,2,,,
LITHUANIA,0.84,0.64,0.72,0.94,0.76,0.24,9700.05532,4.133333333,10.77590445,1,,,
LUXEMBOURG,1.59,1.31,1.74,1.86,1.80,2.17,82656.01869,3.409795876,4.997627663,2,,,
MOLDOVA,0.00,-0.07,-0.60,-0.08,-0.37,-0.63,1046.836841,7.610607209,15.84128012,1,,,
MONTENEGRO,0.23,0.54,0.10,-0.06,-0.02,-0.21,4665.88147,3.450143112,10.9,1,,,
NETHERLANDS,1.58,1.10,1.79,1.81,1.81,2.16,44022.97,2.340943874,4.279469274,1,,,
NORWAY,1.67,1.33,1.84,1.60,1.89,2.17,65897.1559,1.300970874,6.8,2,,,
PORTUGAL,1.10,0.72,0.96,0.63,1.03,1.08,18916.99132,3.653011004,5.327021697,1,,,
RUSSIAN FEDERATION,-0.87,-0.99,-0.45,-0.36,-0.74,-1.04,6631.464198,8.435001025,11.82983087,1,,,
SERBIA,0.27,-0.30,-0.10,0.03,-0.32,-0.25,4197.127188,11.13739763,20.6,1,,,
SLOVAK REPUBLIC,0.95,0.96,0.83,1.00,0.57,0.24,15019.80777,3.919285991,10.75071796,1,,,
SLOVENIA,1.05,0.94,0.99,0.69,1.04,0.90,19415.64061,1.810579921,,1,,,
SPAIN,1.07,0.04,1.03,1.06,1.18,1.05,25838.0572,3.196242972,5.92380484,1,,,
SWITZERLAND,1.63,1.28,1.87,1.64,1.74,2.05,58533.32285,0.225601604,5.547869309,2,,,
TAJIKISTAN,-1.35,-1.00,-0.94,-0.97,-1.21,-1.14,440.6625379,,19.26673328,1,,,
TURKEY,-0.16,-0.96,0.36,0.38,0.08,0.06,8397.142833,6.471879671,11.71008228,2,,,
UKRAINE,-0.13,-0.08,-0.81,-0.61,-0.83,-1.00,2084.782407,7.960094513,14.76006108,1,,,
UNITED KINGDOM,1.30,0.35,1.55,1.66,1.64,1.58,39764.09384,4.484239645,5.099565131,2,,,
